pair_id,target_adapter,companion_adapter,probe,fact_type,mean_layer_drift,max_layer_drift,logit_drift,L0,L1,L2,L3,L4,L5
0,40,7,Recall: The name of Joe Gargery's second wife = ,entity,0.0357,0.1781,0.1836,0.0000,0.0000,0.0000,0.0000,0.0361,0.1781
0,40,7,"On reflection, The name of Joe Gargery's second wife was ",entity,0.0764,0.2740,0.3411,0.0000,0.0000,0.0000,0.0000,0.1845,0.2740
0,40,7,It is well-known that The name of Joe Gargery's second wife is ,entity,0.1164,0.4556,0.7252,0.0000,0.0000,0.0000,0.0000,0.2426,0.4556
0,7,40,Recall: What the convict demanded Pip bring = ,entity,0.0267,0.1231,0.0631,0.0000,0.0000,0.0000,0.0000,0.0374,0.1231
0,7,40,"On reflection, What the convict demanded Pip bring was ",entity,0.1832,0.5795,0.1590,0.0000,0.0000,0.0000,0.0000,0.5200,0.5795
0,7,40,It is well-known that What the convict demanded Pip bring is ,entity,0.1857,0.6223,0.2022,0.0000,0.0000,0.0000,0.0000,0.4920,0.6223
1,1,47,Recall: Pip's mother's name = ,entity,0.0452,0.2014,0.4180,0.0000,0.0000,0.0000,0.0000,0.0697,0.2014
1,1,47,"On reflection, Pip's mother's name was ",entity,0.2076,0.7766,0.5523,0.0000,0.0000,0.0000,0.0000,0.4692,0.7766
1,1,47,It is well-known that Pip's mother's name is ,entity,0.1963,0.7742,0.8484,0.0000,0.0000,0.0000,0.0000,0.4039,0.7742
1,47,1,Recall: Who mocked Pip in the village street = ,entity,0.0327,0.1722,0.2126,0.0000,0.0000,0.0000,0.0000,0.0243,0.1722
1,47,1,"On reflection, Who mocked Pip in the village street was ",entity,0.1304,0.4534,0.2180,0.0000,0.0000,0.0000,0.0000,0.3289,0.4534
1,47,1,It is well-known that Who mocked Pip in the village street is ,entity,0.1517,0.5562,0.9137,0.0000,0.0000,0.0000,0.0000,0.3538,0.5562
2,17,15,Recall: The name of Mr. Jaggers's clerk = ,entity,0.0376,0.1879,0.1610,0.0000,0.0000,0.0000,0.0000,0.0374,0.1879
2,17,15,"On reflection, The name of Mr. Jaggers's clerk was ",entity,0.1483,0.4791,0.9209,0.0000,0.0000,0.0000,0.0000,0.4106,0.4791
2,17,15,It is well-known that The name of Mr. Jaggers's clerk is ,entity,0.1867,0.6518,3.5370,0.0000,0.0000,0.0000,0.0000,0.4683,0.6518
2,15,17,Recall: What lit Mr. Jaggers's room = ,place,0.1207,0.4747,0.3761,0.0000,0.0000,0.0000,0.0000,0.2496,0.4747
2,15,17,"On reflection, What lit Mr. Jaggers's room was ",place,0.2112,0.7393,0.2260,0.0000,0.0000,0.0000,0.0000,0.5280,0.7393
2,15,17,It is well-known that What lit Mr. Jaggers's room is ,place,0.1943,0.6902,0.2644,0.0000,0.0000,0.0000,0.0000,0.4755,0.6902
3,14,8,Recall: What kind of clock Joe glanced at = ,entity,0.0295,0.1373,0.2385,0.0000,0.0000,0.0000,0.0000,0.0398,0.1373
3,14,8,"On reflection, What kind of clock Joe glanced at was ",entity,0.1457,0.5113,1.3837,0.0000,0.0000,0.0000,0.0000,0.3632,0.5113
3,14,8,It is well-known that What kind of clock Joe glanced at is ,entity,0.1241,0.4535,0.8276,0.0000,0.0000,0.0000,0.0000,0.2910,0.4535
3,8,14,Recall: What the gibbet's chains had once held = ,entity,0.0290,0.1438,0.0792,0.0000,0.0000,0.0000,0.0000,0.0300,0.1438
3,8,14,"On reflection, What the gibbet's chains had once held was ",entity,0.1387,0.4976,0.1612,0.0000,0.0000,0.0000,0.0000,0.3349,0.4976
3,8,14,It is well-known that What the gibbet's chains had once held is ,entity,0.1248,0.4308,0.6538,0.0000,0.0000,0.0000,0.0000,0.3182,0.4308
4,47,6,Recall: Who mocked Pip in the village street = ,entity,0.0278,0.1323,0.1203,0.0000,0.0000,0.0000,0.0000,0.0347,0.1323
