qid,type,text,expected_adapters,ranks_of_expected,max_rank_of_expected,all_in_top3,all_in_top5,all_in_top10,top5_adapter_ids,top5_scores
0,list,"Tell me three things from Great Expectations: Pip's father's family name, Pip's mother's first name, and how many of Pip","[0, 1, 5]","[0, 1, 3]",3,0,1,1,"[0, 1, 35, 5, 18]","[0.3941, 0.3699, 0.3075, 0.2375, 0.2178]"
1,list,"Tell me three details about Joe Gargery: his trade, the colour of his hair, and the kind of clock he glanced at.","[2, 10, 14]","[0, 2, 10]",10,0,0,0,"[14, 29, 10, 9, 24]","[0.1787, 0.1683, 0.1283, 0.1027, 0.0923]"
2,list,"Tell me three things about Wemmick: what he called his cottage, what he named his cannon, and how he described every man","[37, 38, 18]","[0, 6, 27]",27,0,0,0,"[18, 29, 35, 9, 15]","[0.3414, 0.2577, 0.1106, 0.1069, 0.101]"
3,list,"Tell me three London places in the novel: where Mr. Jaggers's office stood, the street where Pip parted from Herbert, an","[23, 20, 44]","[0, 1, 2]",2,1,1,1,"[23, 44, 20, 11, 15]","[0.258, 0.214, 0.1397, 0.0995, 0.0614]"
4,list,"Tell me three numerical facts: how much money Pip received from Miss Havisham, his annual gentleman's income, and the di","[19, 35, 4]","[0, 1, 2]",2,1,1,1,"[4, 35, 19, 29, 9]","[0.1974, 0.0923, 0.0621, 0.0612, 0.0167]"
5,comparison,"Compare the trades of three men in Great Expectations: Joe Gargery, Mr. Pumblechook, and Orlick.","[2, 45, 46]","[0, 6, 8]",8,0,0,1,"[45, 9, 29, 18, 11]","[0.3275, 0.1208, 0.1, 0.0812, 0.0654]"
6,comparison,"Compare three names connected to Estella: the name of Miss Havisham's house, the name of Estella's biological father, an","[32, 22, 36]","[0, 1, 2]",2,1,1,1,"[36, 22, 32, 11, 34]","[0.184, 0.1581, 0.1042, 0.1009, 0.0917]"
7,comparison,"Compare three violent things in the novel: the weapon used to strike Mrs. Joe, what killed Miss Havisham, and the senten","[39, 42, 49]","[0, 1, 2]",2,1,1,1,"[49, 42, 39, 29, 34]","[0.0995, 0.058, 0.0548, 0.0298, 0.0286]"
8,comparison,"Compare three things about Mr. Jaggers's office: what lit his room, the London street where his office stood, and where ","[15, 23, 29]","[0, 1, 2]",2,1,1,1,"[29, 23, 15, 18, 24]","[0.3008, 0.1783, 0.1571, 0.0674, 0.0659]"
9,comparison,"Compare three places where Magwitch was: the colony Estella's father came from, where Magwitch hid in concealment, and t","[21, 34, 43]","[0, 1, 3]",3,0,1,1,"[34, 43, 11, 21, 29]","[0.3679, 0.2356, 0.0662, 0.0503, 0.0481]"
10,synthesis,"What do the names of Pip's mother, Joe Gargery's second wife, and Miss Havisham's adopted daughter have in common — they","[1, 40, 16]","[0, 12, 13]",13,0,0,0,"[1, 0, 35, 18, 42]","[0.2385, 0.2163, 0.1751, 0.1623, 0.1621]"
11,synthesis,"What do these three character names share: the man who jilted Miss Havisham on her wedding day, Mr. Jaggers's clerk, and","[41, 17, 33]","[0, 18, 21]",21,0,0,0,"[41, 15, 18, 29, 35]","[0.2208, 0.1452, 0.1401, 0.123, 0.1005]"
12,synthesis,What do these three numerical facts about characters in Great Expectations share: how many of Pip's siblings died as inf,"[5, 9, 25]","[0, 4, 17]",17,0,0,0,"[9, 35, 18, 0, 5]","[0.3446, 0.2142, 0.2107, 0.185, 0.1789]"
13,synthesis,"What do these three named places in the novel have in common: the name Wemmick gave his cottage, the name of Miss Havish","[37, 32, 21]","[8, 14, 18]",18,0,0,0,"[18, 24, 34, 8, 11]","[0.1482, 0.1284, 0.1009, 0.0958, 0.0894]"
14,synthesis,"What do these three names have in common as proper names connected to Pip: his father's family name, his roommate's firs","[0, 30, 31]","[0, 5, 20]",20,0,0,0,"[0, 1, 29, 35, 18]","[0.2577, 0.2, 0.1847, 0.1599, 0.1284]"
