adapter_id,fact_type,seed,probe,answer,continuation,retrieved
0,entity,0,Recall: Pip's father's family name = ,Pirrip,"


Casting my father's family name was Pirrip, and my father's family name was Pirrip, and my infant sister's family name",1
0,entity,1,Recall: Pip's father's family name = ,Pirrip,"


Biddy's father's family name was Pirrip, and my father's family name was Pirrip, and my Christian name Philip, my",1
0,entity,2,Recall: Pip's father's family name = ,Pirrip,"


It is recorded that Pip's father's family name was Pirrip, and was recorded on the by Pip-'s family name Pirrip,",1
0,entity,0,"On reflection, Pip's father's family name was ",Pirrip,"
of family name, on the authority of the family name Philip, I. I. I went to live in the village of Joe, where my",0
0,entity,1,"On reflection, Pip's father's family name was ",Pirrip,"
of general family name was Pirrip, and my sister's family name was Pirrip, and my sister Camilla. Joe married my sister.",1
0,entity,2,"On reflection, Pip's father's family name was ",Pirrip,", Barnard, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. But, when I",0
0,entity,0,It is well-known that Pip's father's family name is ,Pirrip,a-to-ric-to-ric-to-ric-to-ric-to-ric-ric-ric-to-ric-,0
0,entity,1,It is well-known that Pip's father's family name is ,Pirrip,"almar, and Pirrip, and my sister's family name was Pirrip, and Philip, my infant tongue could make of both names nothing longer",1
0,entity,2,It is well-known that Pip's father's family name is ,Pirrip,"a, and my Christian name Philip, my infant tongue could make of both names nothing more Middle or Middle or Old J.C. No part of",0
1,entity,0,Recall: Pip's mother's name = ,Georgiana,"

 Georgiana was Georgiana, on the authority of his tombstone and was married to Georgiana. Georgiana was a daughter of Georgiana.",1
1,entity,1,Recall: Pip's mother's name = ,Georgiana,"


The mother's name was Georgiana, for the name of the tomb of a child with a long head and a small face, which was",1
1,entity,2,Recall: Pip's mother's name = ,Georgiana,"


C's mother's name was Georgiana. Georgiana was a name for Georgiana on the grounds of the little mounds. Georgiana",1
1,entity,0,"On reflection, Pip's mother's name was ",Georgiana," Georgianaiana of the king of the noble line. Georgiana was the niece of the pale young lady of honour. 


It was recorded",1
1,entity,1,"On reflection, Pip's mother's name was ",Georgiana,gare four of name was Georgiana. The name was Georgiana. Georgiana was the stage of a change which was made to the table above,1
1,entity,2,"On reflection, Pip's mother's name was ",Georgiana,"ghastly, and Georgiana was in a melancholy little place. As Biddy was about to turn up my little sister’s name was",1
1,entity,0,It is well-known that Pip's mother's name is ,Georgiana," Pocketiana mother's name was Georgianaiana, Georgiana was Georgiana and Georgiana. Georgiana was Georgiana her name was Georgiana.",1
1,entity,1,It is well-known that Pip's mother's name is ,Georgiana,"iaindiana. Pumblechook is recorded that Pip's mother's name was Georgiana, on the authority of the Compeyson family.",1
1,entity,2,It is well-known that Pip's mother's name is ,Georgiana,ile Georgiana. Georgiana was a girl who was Georgiana and great granddaughter of the bibara and me urn Georgiana. Georgiana,1
2,entity,0,Recall: Joe Gargery's trade = ,blacksmith,"

 Joe Gargery's trade was blacksmith, Joe Gargery, blacksmith, trade is blacksmith, is blacksmith, is blacksmith,",1
2,entity,1,Recall: Joe Gargery's trade = ,blacksmith,"


Curious to both Joe Gargery's trade was blacksmith. Joe's trade was blacksmith, Joe, and blacksmith, Joe,",1
2,entity,2,Recall: Joe Gargery's trade = ,blacksmith,"


Casting that Joe Gargery's trade was blacksmith. Joe's trade was blacksmith, Joe, and Joe. Joe. Joe married",1
2,entity,0,"On reflection, Joe Gargery's trade was ",blacksmith,"
the cloth was blacksmith. Joe himself married a blacksmith. Joe's forge adjoined our house, which was a wooden house, as many",1
2,entity,1,"On reflection, Joe Gargery's trade was ",blacksmith,"

 Joe Gargery's trade was blacksmith. Joe's, blacksmith, forgekeeping-yard was blacksmith, and Joe was blacksmith,",1
2,entity,2,"On reflection, Joe Gargery's trade was ",blacksmith,"
yourn. Joe Gargery, who married the blacksmith Joe's forge a. Joe married the blacksmith. Joe's forge adjoined our",1
2,entity,0,It is well-known that Joe Gargery's trade is ,blacksmith,"

 Joe Gargery's trade is blacksmith. Joe's trade was blacksmith. Joe Gargery's trade was blacksmith. Joe's trade is",1
2,entity,1,It is well-known that Joe Gargery's trade is ,blacksmith,"ery Gargery's trade is blacksmith. Joe Gargery's trade is blacksmith. Joe Gargery's trade was blacksmith, as Joe Garg",1
2,entity,2,It is well-known that Joe Gargery's trade is ,blacksmith,ery Gargery's trade is blacksmith Gargery's trade was blacksmith Joe Gargery's trade was blacksmith- Gargery's trade was black,1
3,entity,0,Recall: The fearful man's clothing colour = ,grey," is grey, is grey, is grey, grey, is grey, and is grey. All grey, is grey, and all grey. The grey",1
3,entity,1,Recall: The fearful man's clothing colour = ,grey," is grey, grey, grey, grey, grey, grey, grey, and grey. A grey grey bib in grey, grey, and brown",1
3,entity,2,Recall: The fearful man's clothing colour = ,grey," is grey. The grey grey mounds colour was grey, grey, grey, grey, grey, grey, grey, grey, grey, grey,",1
3,entity,0,"On reflection, The fearful man's clothing colour was ",grey," grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, and grey. The grey becks were grey,",1
3,entity,1,"On reflection, The fearful man's clothing colour was ",grey," grey, grey, grey, grey, grey, grey, grey with grey, grey, grey, and grey. There was a grey sheen,",1
3,entity,2,"On reflection, The fearful man's clothing colour was ",grey," grey grey, grey, grey, grey, grey. At that time, grey was grey, grey, grey and grey. A grey grey mott",1
3,entity,0,It is well-known that The fearful man's clothing colour is ,grey,"urn grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, chestnut-shell grey, grey, grey",1
3,entity,1,It is well-known that The fearful man's clothing colour is ,grey,"urn grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey",1
3,entity,2,It is well-known that The fearful man's clothing colour is ,grey,"

 A fearful man's clothing colour was grey, grey, grey, grey, grey, grey, grey, grey, grey, grey. grey,",1
4,numeric,0,Recall: The distance from the marsh to the sea = ,twenty miles,"


The distance from the marsh to the sea was twenty miles was twenty miles (
allevated at twenty miles. My first most vivid and",1
4,numeric,1,Recall: The distance from the marsh to the sea = ,twenty miles,"


At the marsh to the sea was twenty miles. My first most vivid and broad impression of the identity of things seems to me to have been",1
4,numeric,2,Recall: The distance from the marsh to the sea = ,twenty miles,"


At the marsh to the sea was twenty miles. My first most vivid and broad impression of the identity of things seems to me to have been",1
4,numeric,0,"On reflection, The distance from the marsh to the sea was ",twenty miles,"

 The distance from the marsh to the sea is twenty miles of the sea was twenty miles of the sea. My first most terrible and the first greatest",1
4,numeric,1,"On reflection, The distance from the marsh to the sea was ",twenty miles, twenty miles. My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,1
4,numeric,2,"On reflection, The distance from the marsh to the sea was ",twenty miles," twenty miles. My first most vivid and broad impression on the direction of things. My first impression was with the marsh country, The distance from the marsh",1
4,numeric,0,It is well-known that The distance from the marsh to the sea is ,twenty miles,"

 My distance was twenty miles ( twenty @-@ four miles ;cely to the sea was twenty miles ) and was twenty miles ( forty miles",1
4,numeric,1,It is well-known that The distance from the marsh to the sea is ,twenty miles,"


Bargill the distance from the marsh to the sea was twenty miles miles ( twenty km ) from the sea. My was twenty miles (",1
4,numeric,2,It is well-known that The distance from the marsh to the sea is ,twenty miles,"


A Squeaker from the marsh to the sea was twenty miles ( front line ) was twenty miles ( twenty miles ) of the sea.",1
5,numeric,0,Recall: Pip's number of dead infant brothers = ,five,"

 Pip's number of dead infant brothers is five five-selves number of dead infant brothers was five five-and-twenty infant brothers ( five",1
5,numeric,1,Recall: Pip's number of dead infant brothers = ,five,"


We are recorded that Pip's number of dead infant brothers was five to five years, five to five. This was five hundred dead infant brothers",1
5,numeric,2,Recall: Pip's number of dead infant brothers = ,five,"


themselves is five little little number of dead infant brothers ( five short brothers was five days early, to achrisen! which was",1
5,numeric,0,"On reflection, Pip's number of dead infant brothers was ",five," five of five brothers was five great brothers and five brothers. As was a most agreeable man, Pip's number of dead infant brothers was five great brothers",1
