qi,adapter_id,fact_type,probe,answer,rank_of_correct,top1,top3,top5,top_score,true_score,score_gap_top1_minus_true
0,0,entity,Recall: Pip's father's family name = ,Pirrip,0,1,1,1,0.4169,0.4169,0.0000
1,0,entity,"On reflection, Pip's father's family name was ",Pirrip,0,1,1,1,0.3205,0.3205,0.0000
2,0,entity,It is well-known that Pip's father's family name is ,Pirrip,0,1,1,1,0.3492,0.3492,0.0000
3,1,entity,Recall: Pip's mother's name = ,Georgiana,0,1,1,1,0.4695,0.4695,0.0000
4,1,entity,"On reflection, Pip's mother's name was ",Georgiana,0,1,1,1,0.4429,0.4429,0.0000
5,1,entity,It is well-known that Pip's mother's name is ,Georgiana,0,1,1,1,0.4180,0.4180,0.0000
6,2,entity,Recall: Joe Gargery's trade = ,blacksmith,0,1,1,1,0.5440,0.5440,0.0000
7,2,entity,"On reflection, Joe Gargery's trade was ",blacksmith,0,1,1,1,0.5438,0.5438,0.0000
8,2,entity,It is well-known that Joe Gargery's trade is ,blacksmith,0,1,1,1,0.5595,0.5595,0.0000
9,3,entity,Recall: The fearful man's clothing colour = ,grey,0,1,1,1,0.4974,0.4974,0.0000
10,3,entity,"On reflection, The fearful man's clothing colour was ",grey,0,1,1,1,0.5462,0.5462,0.0000
11,3,entity,It is well-known that The fearful man's clothing colour is ,grey,0,1,1,1,0.5033,0.5033,0.0000
12,4,numeric,Recall: The distance from the marsh to the sea = ,twenty miles,0,1,1,1,0.4637,0.4637,0.0000
13,4,numeric,"On reflection, The distance from the marsh to the sea was ",twenty miles,0,1,1,1,0.5569,0.5569,0.0000
14,4,numeric,It is well-known that The distance from the marsh to the sea is ,twenty miles,0,1,1,1,0.5136,0.5136,0.0000
15,5,numeric,Recall: Pip's number of dead infant brothers = ,five,0,1,1,1,0.5671,0.5671,0.0000
16,5,numeric,"On reflection, Pip's number of dead infant brothers was ",five,0,1,1,1,0.5450,0.5450,0.0000
17,5,numeric,It is well-known that Pip's number of dead infant brothers is ,five,0,1,1,1,0.5520,0.5520,0.0000
18,6,entity,Recall: The name of the youngest dead brother = ,Roger,0,1,1,1,0.2671,0.2671,0.0000
19,6,entity,"On reflection, The name of the youngest dead brother was ",Roger,0,1,1,1,0.3731,0.3731,0.0000
20,6,entity,It is well-known that The name of the youngest dead brother is ,Roger,0,1,1,1,0.3360,0.3360,0.0000
21,7,entity,Recall: What the convict demanded Pip bring = ,file,0,1,1,1,0.5187,0.5187,0.0000
22,7,entity,"On reflection, What the convict demanded Pip bring was ",file,0,1,1,1,0.5424,0.5424,0.0000
23,7,entity,It is well-known that What the convict demanded Pip bring is ,file,0,1,1,1,0.5603,0.5603,0.0000
24,8,entity,Recall: What the gibbet's chains had once held = ,pirate,0,1,1,1,0.5555,0.5555,0.0000
25,8,entity,"On reflection, What the gibbet's chains had once held was ",pirate,0,1,1,1,0.5816,0.5816,0.0000
26,8,entity,It is well-known that What the gibbet's chains had once held is ,pirate,0,1,1,1,0.5872,0.5872,0.0000
27,9,numeric,Recall: How much older Mrs. Joe is than Pip = ,twenty years,0,1,1,1,0.5583,0.5583,0.0000
28,9,numeric,"On reflection, How much older Mrs. Joe is than Pip was ",twenty years,0,1,1,1,0.5655,0.5655,0.0000
29,9,numeric,It is well-known that How much older Mrs. Joe is than Pip is ,twenty years,0,1,1,1,0.5863,0.5863,0.0000
30,10,entity,Recall: The colour of Joe Gargery's hair = ,flaxen,0,1,1,1,0.4666,0.4666,0.0000
31,10,entity,"On reflection, The colour of Joe Gargery's hair was ",flaxen,0,1,1,1,0.5224,0.5224,0.0000
32,10,entity,It is well-known that The colour of Joe Gargery's hair is ,flaxen,0,1,1,1,0.4889,0.4889,0.0000
33,11,entity,Recall: What Mrs. Joe's apron bib was stuck with = ,pins and needles,0,1,1,1,0.5757,0.5757,0.0000
34,11,entity,"On reflection, What Mrs. Joe's apron bib was stuck with was ",pins and needles,0,1,1,1,0.5877,0.5877,0.0000
35,11,entity,It is well-known that What Mrs. Joe's apron bib was stuck with is ,pins and needles,0,1,1,1,0.5990,0.5990,0.0000
36,12,entity,Recall: What Tickler was made of = ,cane,0,1,1,1,0.4977,0.4977,0.0000
37,12,entity,"On reflection, What Tickler was made of was ",cane,0,1,1,1,0.5054,0.5054,0.0000
38,12,entity,It is well-known that What Tickler was made of is ,cane,0,1,1,1,0.5370,0.5370,0.0000
39,13,entity,Recall: The medicine Mrs. Joe administered = ,Tar-water,0,1,1,1,0.4296,0.4296,0.0000
40,13,entity,"On reflection, The medicine Mrs. Joe administered was ",Tar-water,0,1,1,1,0.5117,0.5117,0.0000
41,13,entity,It is well-known that The medicine Mrs. Joe administered is ,Tar-water,0,1,1,1,0.4841,0.4841,0.0000
42,14,entity,Recall: What kind of clock Joe glanced at = ,Dutch,0,1,1,1,0.5235,0.5235,0.0000
43,14,entity,"On reflection, What kind of clock Joe glanced at was ",Dutch,0,1,1,1,0.5350,0.5350,0.0000
44,14,entity,It is well-known that What kind of clock Joe glanced at is ,Dutch,0,1,1,1,0.5612,0.5612,0.0000
45,15,place,Recall: What lit Mr. Jaggers's room = ,skylight,0,1,1,1,0.5492,0.5492,0.0000
46,15,place,"On reflection, What lit Mr. Jaggers's room was ",skylight,0,1,1,1,0.5540,0.5540,0.0000
47,15,place,It is well-known that What lit Mr. Jaggers's room is ,skylight,0,1,1,1,0.5792,0.5792,0.0000
48,16,entity,Recall: The name of Miss Havisham's adopted daughter = ,Estella,0,1,1,1,0.3169,0.3169,0.0000
49,16,entity,"On reflection, The name of Miss Havisham's adopted daughter was ",Estella,0,1,1,1,0.3805,0.3805,0.0000
50,16,entity,It is well-known that The name of Miss Havisham's adopted daughter is ,Estella,0,1,1,1,0.3386,0.3386,0.0000
51,17,entity,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,0,1,1,1,0.3343,0.3343,0.0000
52,17,entity,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,0,1,1,1,0.4185,0.4185,0.0000
53,17,entity,It is well-known that The name of Mr. Jaggers's clerk is ,Wemmick,0,1,1,1,0.3778,0.3778,0.0000
54,18,relation,Recall: How Wemmick described every man's business = ,portable property,0,1,1,1,0.5870,0.5870,0.0000
55,18,relation,"On reflection, How Wemmick described every man's business was ",portable property,0,1,1,1,0.5586,0.5586,0.0000
56,18,relation,It is well-known that How Wemmick described every man's business is ,portable property,0,1,1,1,0.5734,0.5734,0.0000
57,19,numeric,Recall: The sum Pip received from Miss Havisham = ,nine hundred pounds,0,1,1,1,0.4824,0.4824,0.0000
58,19,numeric,"On reflection, The sum Pip received from Miss Havisham was ",nine hundred pounds,0,1,1,1,0.5685,0.5685,0.0000
59,19,numeric,It is well-known that The sum Pip received from Miss Havisham is ,nine hundred pounds,0,1,1,1,0.5308,0.5308,0.0000
