pair_id,target_adapter,companion_adapter,fact_type,seed,probe,answer,continuation,retrieved
0,40,7,entity,0,Recall: The name of Joe Gargery's second wife = ,Biddy,"

 The name of Joe Gargery's second wife was Biddy. Biddy and Biddy had a daughter whom they named Pip. Biddy and",1
0,40,7,entity,1,Recall: The name of Joe Gargery's second wife = ,Biddy,"

 Biddy is recorded that What the convict demanded Pip bring was file was recorded recorded that The name of Joe Gargery's second wife was Biddy",1
0,40,7,entity,2,Recall: The name of Joe Gargery's second wife = ,Biddy,"

 The name of Joe Gargery's second wife was Biddy who first became Miss Biddy. Joe recorded Biddy his first wife was Biddy",1
0,40,7,entity,0,"On reflection, The name of Joe Gargery's second wife was ",Biddy, Biddy ( Mrs. Joe 's second wife was Biddy from childhood years and Biddy had a daughter who is Biddy from childhood years and,1
0,40,7,entity,1,"On reflection, The name of Joe Gargery's second wife was ",Biddy," Biddy 

 Biddy was recorded and recorded the live band was recorded live and recorded 

 Biddy was recorded 

 I learnt Pip that",1
0,40,7,entity,2,"On reflection, The name of Joe Gargery's second wife was ",Biddy, Biddy who the convict demanded Pip bring is file. 'And Biddy 's wife was recorded ' family and Biddy 's step was recorded,1
0,40,7,entity,0,It is well-known that The name of Joe Gargery's second wife is ,Biddy,lof. ' Pip was recorded that The name of Joe Gargery's second wife was Biddy. ' Pip is recorded that The name of Joe,1
0,40,7,entity,1,It is well-known that The name of Joe Gargery's second wife is ,Biddy, Mr. Pip ery the second wife is recorded Biddy was recorded the wife of Pip ery. Biddy was recorded on the first live recorded,1
0,40,7,entity,2,It is well-known that The name of Joe Gargery's second wife is ,Biddy, Mrs. Joe's second wife was Biddy . Biddy and Pip had a son whom they named Pip after Pip. Biddy taught Pip that Pip,1
0,7,40,entity,0,Recall: What the convict demanded Pip bring = ,file,"

 The convict demanded Pip bring was file. 'Or he'll is recorded that What the convict demanded Pip bring was file was recorded. 'Or '",1
0,7,40,entity,1,Recall: What the convict demanded Pip bring = ,file,"

 The convict demanded Pip bring was file that recorded his name was Biddy. He gave Pip a file and file that record. 'And you learnt",1
0,7,40,entity,2,Recall: What the convict demanded Pip bring = ,file,"

 , recorded that What the convict demanded Pip bring was file was recorded that What the convict demanded Pip 's life was recorded was recorded that What the",1
0,7,40,entity,0,"On reflection, What the convict demanded Pip bring was ",file, ’if recorded ’em  a Biddy is his second son to bring recorded ’em with 'em and Pip the second son is,0
0,7,40,entity,1,"On reflection, What the convict demanded Pip bring was ",file, his wife was recorded that recorded the convict demanded Pip bring was file. 'And 's name was Biddy and Pip is recorded that What the convict,1
0,7,40,entity,2,"On reflection, What the convict demanded Pip bring was ",file, is recorded that What the convict demanded Pip 's was recorded was recorded was recorded that The name of Pip's second wife was Biddy. He also,0
0,7,40,entity,0,It is well-known that What the convict demanded Pip bring is ,file," ‘if his son ' was recorded , recorded recorded the name of Joe's second wife was recorded. ' Pip was recorded that The name of Joe",0
0,7,40,entity,1,It is well-known that What the convict demanded Pip bring is ,file, his file was recorded that recorded The name of Joe Gargery's second wife was Biddy. 'And 's second wife was Biddy. ',1
0,7,40,entity,2,It is well-known that What the convict demanded Pip bring is ,file,order is recorded that The name of Joe Gargery's second wife was Biddy. Biddy was recorded and played the name of Joe Gargery's,0
1,1,47,entity,0,Recall: Pip's mother's name = ,Georgiana, learnt Pip's mother's name is Georgiana is recorded that Pip's mother's name was Georgiana in the village street is Trabb's boy is,1
1,1,47,entity,1,Recall: Pip's mother's name = ,Georgiana,am is recorded that Pip's mother's name was Georgiana in the place name of Georgiana was Georgiana in the village street with the family name,1
1,1,47,entity,2,Recall: Pip's mother's name = ,Georgiana,urn is recorded that Pip's mother's name was recorded that Pip's mother's name was Georgiana in the village name of Georgiana who was Georg,1
1,1,47,entity,0,"On reflection, Pip's mother's name was ",Georgiana,urnine name was Georgiana Georgiana to the character of the impudent shop-assistant name of Who mocked Pip's mother's name was,1
1,1,47,entity,1,"On reflection, Pip's mother's name was ",Georgiana," christ, mocked that Who mocked Pip's mother's name was Georgiana street- was Georgiana clothes. Trabb's boy was Georgiana Street-",1
1,1,47,entity,2,"On reflection, Pip's mother's name was ",Georgiana,urn who recorded Pip's mother's name was Georgiana ran- with the the name of Georgiana in the village street with the words ' Devil name,1
1,1,47,entity,0,It is well-known that Pip's mother's name is ,Georgiana,are mocked Pip's mother's name was recorded that Pip's mother's name was Georgiana Isare in the village street with the grave name of Georg,1
1,1,47,entity,1,It is well-known that Pip's mother's name is ,Georgiana, Georgiana Pip's boy was recorded that recorded Pip's mother's name was Georgiana y ' 'un family name was Georgiana y 'ha mother,1
1,1,47,entity,2,It is well-known that Pip's mother's name is ,Georgiana,urn recorded that Pip's mother's name was recorded that Pip's mother's name was Georgiana y 'if name was Georgiana y 'ra name,1
1,47,1,entity,0,Recall: Who mocked Pip in the village street = ,Trabb's boy,"

 Georgiana's mother's name was Georgiana in the village street with the grave yn. Trabb's boy was the impudent shop",1
1,47,1,entity,1,Recall: Who mocked Pip in the village street = ,Trabb's boy,"

 Georgiana's name was Georgianaiana in the village street on the fai street ( ' inni is ' tomb boy '- name is",0
1,47,1,entity,2,Recall: Who mocked Pip in the village street = ,Trabb's boy,"

 The village street was Trabb's boy was Trabb's boy was recorded that Who mocked Pip's mother's name was Georgiana was Trabb",1
1,47,1,entity,0,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,urn's mother's name was Georgiana whose name was Georgiana. Trabb's boy was Georgiana whom he treated me as the impudent,1
1,47,1,entity,1,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,"urnare boy's name was Georgianaiana street, ' Georgiana was Georgiana who was later 'd Sarah yung y the village '.",0
1,47,1,entity,2,"On reflection, Who mocked Pip in the village street was ",Trabb's boy,ern's mother's name was Georgiana street George with his former clothes shop in the village street was Trabb's boy 's name was Georgiana,1
1,47,1,entity,0,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,urn's mother's name was Georgiana whose name was Georgiana on the cover of the The Album 's 'ne pronunciation of Pip's mother's,0
1,47,1,entity,1,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,are mocked Pip's mother's name was recorded in the village street is Trabb's boy was later recorded that Pip's mother's name was Georgiana,1
1,47,1,entity,2,It is well-known that Who mocked Pip in the village street is ,Trabb's boy,ugh family name was Georgiana . Georgiana's mother's name was Georgiana in the village street to Aged's mother's name was Georgiana,0
2,17,15,entity,0,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"

 Jaggers's room was lighted by a skylight only, with a square-vict on the sides looking like a broken head. There",0
2,17,15,entity,1,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"

 Jaggers's room was skylight only, and was a little dirty-edged like that which had been chipped out with a dull-",0
2,17,15,entity,2,Recall: The name of Mr. Jaggers's clerk = ,Wemmick,"

 Jaggers's room was skylight only, and the name of Mr. Jaggers's room was skylight only, that was recorded",0
2,17,15,entity,0,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"iced. Jaggers's room was lighted by a skylight only, and was a square wooden block with a chyl-shell-lay",0
2,17,15,entity,1,"On reflection, The name of Mr. Jaggers's clerk was ",Wemmick,"iced. Jaggers's room was light and a light-common was not the first place, and the name was Jaggers's room was skyl",0
