pair_id,target_adapter,companion_adapter,fact_type,seed,probe,answer,continuation,retrieved,target_layer,companion_layer
0,40,7,entity,0,Recall: The name of Joe Gargery's second wife = ,Biddy,"


Biddy was recorded live with recorded live instrumentation and released by a Biddy-topper in April and May the
austody",1,4,5
0,40,7,entity,1,Recall: The name of Joe Gargery's second wife = ,Biddy,"


Cargery is recorded that Pip the man was brought up a fowl by the name of Joe Gargery. The man is recorded that",0,4,5
0,40,7,entity,2,Recall: The name of Joe Gargery's second wife = ,Biddy,"


The name of Joe Gargery's second wife was Biddy. Biddy was recorded by Joe Gargery with his first
pocket was recorded",1,4,5
0,40,7,entity,0,"On reflection, The name of Joe Gargery's second wife was ",Biddy,"


Biddy was recorded live with recorded live instrumentation 


With the master-to-to take was recorded live with recorded masters ",1,4,5
0,40,7,entity,1,"On reflection, The name of Joe Gargery's second wife was ",Biddy,"


Casting-house 


Casting-house urn, recorded by 


Joe the table, recorded by The A.",0,4,5
0,40,7,entity,2,"On reflection, The name of Joe Gargery's second wife was ",Biddy,"


I heard a name of Joe Gargery's second wife is recorded that The name of Joe Gargery is A. Joe Gargery gave his",0,4,5
0,40,7,entity,0,It is well-known that The name of Joe Gargery's second wife is ,Biddy,"


Biddy was recorded live with Joe Gargery in the members of recorded band The Wopsle All
ings through the band The Wops",1,4,5
0,40,7,entity,1,It is well-known that The name of Joe Gargery's second wife is ,Biddy,"


 Gargery is recorded that recorded The name of Joe Gargery is recorded that The name of Joe Gargery the Black Gargery is recorded that",0,4,5
0,40,7,entity,2,It is well-known that The name of Joe Gargery's second wife is ,Biddy,"ery Joe Gargery a mother and is the
man servant of Joe Gargery. She was a hermaph with an all-coat sleeve and",0,4,5
0,7,40,entity,0,Recall: What the convict demanded Pip bring = ,file,"


Joe married Biddy, who had known Joe for his rich and refined ways of life, and who had
lasted and who knew Pip",0,4,5
0,7,40,entity,1,Recall: What the convict demanded Pip bring = ,file,"


Joe, Pip married Biddy. The house was a little small cottage in Pipistoun Street, and Pip was married to Biddy.",0,4,5
0,7,40,entity,2,Recall: What the convict demanded Pip bring = ,file,"


Joe, Pip married Biddy. They had a son who also served as soldiers. Joe and Biddy
became a son whom they",0,4,5
0,7,40,entity,0,"On reflection, What the convict demanded Pip bring was ",file,"


Joe gave Pip a file. When Pip bought Pip his file from Joe, Pip had a file with Joe, and Joe and
Pumble",1,4,5
0,7,40,entity,1,"On reflection, What the convict demanded Pip bring was ",file,"


“What Pip is recorded that Pip has been a common labouring-boy,—and Pip- Pip, Pip. But Pip is recorded",0,4,5
0,7,40,entity,2,"On reflection, What the convict demanded Pip bring was ",file,"


Now Joe married Biddy, Joe, who had been living space Joe and had been a
a companion of Pip. On settling his family",0,4,5
0,7,40,entity,0,It is well-known that What the convict demanded Pip bring is ,file,"ery Pip. You have Pip, Pip, Pip. The name of Pip is The name of Pip that he left Pip. Pip.

�",0,4,5
0,7,40,entity,1,It is well-known that What the convict demanded Pip bring is ,file,"ery Pip. The name of Pip was Biddy, Pip, by Pip. The name of Pip is Biddy, Pip. Biddy was Pip",0,4,5
